Origin (UTC),Cell Number,Present-day Country and link to Wikipedia article,Latitude,Longitude,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths
6/5/1994,950,Taiwan,24.455,121.85,11,6.3 MW,"T,L",1,1,1,,
6/6/1994,951,Colombia(see 1994 Paez river earthquake),2.908,-75.971,12,6.8 MW,L,295,795,800,,
6/9/1994,952,Bolivia (see1994 Bolivia earthquake),-13.86,-67.512,631,8.2 MW,L,1,5,10,0,
6/20/1994,953,Iran,29.053,52.671,10.8,5.9 MW,L,3,3,3,2,
7/4/1994,954,Mexico,14.887,-97.312,15,6.4 MW,,2,2,2,,
8/18/1994,955,Algeria,35.464,-0.084,9,5.8 MW,,159,159,159,171,
9/1/1994,956,South Africa,-26.447,27.405,5,2.7 ML,,0,3,,,
9/16/1994,957,Taiwan (see1994 Taiwan Strait earthquake),22.555,118.719,13,6.7 MW,,1,1,5,1,
10/4/1994,958,Russian Federation,43.863,147.353,14,8.3 MW,"T,L",,11,11,5,
10/8/1994,959,Indonesia,-1.206,127.98,17,6.8 MW,T,1,1,1,1,
11/14/1994,960,Philippines,13.543,121.059,32,7.1 MW,"T,Lq",78,78,78,81,
12/28/1994,961,Japan,40.523,143.43,27,7.7 MW,T,3,3,3,2,
1/16/1995,962,Japan (seeGreat Hanshin earthquake),34.58,135.025,22,6.9 MW,"L,F,Lq",5502,5530,6432,5297,
1/19/1995,963,Colombia,5.044,-72.936,17,6.5 MW,L,7,7,7,7,
2/3/1995,964,United States,41.488,-109.785,1,5.3 mb,,0,1,1,,
2/8/1995,965,Colombia,4.052,-76.589,74,6.3 MW,L,42,42,42,40,
2/23/1995,966,Taiwan,24.233,121.706,43.6,6.2 MW,L,0,2,2,,
2/23/1995,967,Cyprus,35.06,32.269,18,5.9 MW,,2,2,,2,
3/4/1995,968,Colombia,1.282,-77.307,5,4.4 mb,,8,8,8,8,
3/26/1995,969,Ecuador,-2.133,-79.509,95.5,5.6 MW,,,,,1,
5/13/1995,970,Greece,40.144,21.718,14,6.6 MW,,0,0,,26,
5/14/1995,971,Indonesia,-8.462,125.039,11,6.9 MW,"T,L",0,11,11,,
5/21/1995,972,Indonesia,-8.288,122.944,26.4,5.2 MW,,1,1,1,,
5/27/1995,973,Russian Federation(see 1995 Neftegorsk earthquake),52.604,142.823,11,7.0 MW,,1989,1989,1989,1989,
6/15/1995,974,Greece,38.444,22.309,14,6.2 MW,,26,26,26,26,
6/25/1995,975,Taiwan,24.62,121.679,60.3,5.9 MW,L,0,1,1,,
7/11/1995,976,Myanmar,21.948,99.103,9.2,6.8 MW,,11,11,11,11,
7/21/1995,977,China,36.436,103.166,7.4,5.6 MW,,14,14,14,14,
7/30/1995,978,Chile (see1995 Antofagasta earthquake),-23.34,-70.253,46,8.0 MW,"T,L",3,3,3,3,
9/14/1995,979,Mexico,16.849,-98.608,23,7.3 MW,,3,3,3,6,
10/1/1995,980,Turkey,38.077,30.143,31,6.4 MW,,101,101,101,94,
10/3/1995,981,Ecuador,-2.79,-77.823,24,7.0 MW,,2,2,2,2,
10/6/1995,982,Indonesia,-2.007,101.45,36.6,6.7 MW,L,84,84,84,84,
10/9/1995,983,Mexico (see1995 Colima-Jalisco earthquake),19.053,-104.208,26.4,8.0 MW,"T,L",49,49,58,,
10/23/1995,984,China,25.947,102.22,14.7,6.2 MW,,81,81,53,46,
11/22/1995,985,Saudi Arabia/Egypt(see 1995 Gulf of Aqaba earthquake),28.762,34.808,14,7.2 MW,Lq,9,10,10,10,
12/19/1995,986,Guatemala,15.175,-90.171,15,5.3 MW,L,0,1,1,,
12/19/1995,987,Indonesia,-3.665,140.263,63,6.4 MW,,0,2,2,,
1/1/1996,988,Indonesia,0.714,119.905,24,7.9 MW,T,8,9,10,9,
2/3/1996,989,China (see1996 Lijiang earthquake),27.271,100.262,12.2,6.6 MW,,322,322,309,309,
2/17/1996,990,Indonesia(see 1996 Biak earthquake),-0.918,136.973,35.8,8.2 MW,T,108,166,166,166,
2/21/1996,991,Peru (see1996 Chimbote earthquake),-9.722,-79.868,15,7.5 MW,T,0,7,,,
3/19/1996,992,China,40.043,76.621,18.9,6.3 MW,,24,24,24,26,
3/28/1996,993,Ecuador,-1.031,-78.659,9,5.9 MW,L,27,27,,27,
4/29/1996,994,Papua New Guinea,-6.518,155.116,38,7.2 MW,,1,1,1,,
5/3/1996,995,China,40.777,109.713,24.5,6.0 MW,,18,18,26,18,
8/14/1996,996,Turkey,40.697,35.293,25.8,5.7 MW,L,0,0,1,0,
9/24/1996,997,China,27.212,100.332,8.2,5.5 MW,,,,1,0,
10/9/1996,998,Cyprus,34.562,32.143,22,6.8 MW,,1,2,2,,
11/12/1996,999,Peru,-14.959,-75.562,21,7.7 MW,T,14,14,15,14,
1/11/1997,1000,Mexico,18.193,-102.795,35,7.1 MW,,1,1,1,1,
1/21/1997,1001,China (see1997 Jiashi earthquakes),39.536,76.879,15,5.9 MW,,12,12,12,12,
1/22/1997,1002,Turkey,36.199,35.902,46.1,5.7 MW,,0,0,1,,
2/4/1997,1003,Iran,37.724,57.305,15,6.5 MW,,100,100,100,100,
2/27/1997,1004,Pakistan (see1997 Harnai earthquake),29.979,68.165,34.9,7.1 MW,L,60,60,57,50,
2/28/1997,1005,Iran (see1997 Ardabil earthquake),38.108,48.069,9.7,6.1 MW,,1100,1100,1100,1100,
3/1/1997,1006,China,39.45,76.817,19.3,5.6 MW,,2,2,1,2,
3/19/1997,1007,Pakistan,34.79,71.523,15,4.9 mb,,15,15,15,,
4/5/1997,1008,China,39.525,76.83,15,5.9 MW,,0,0,,9,
4/11/1997,1009,China,39.536,76.892,20,6.1 MW,,9,9,9,9,
5/10/1997,1010,Iran (see1997 Qayen earthquake),33.848,59.81,12.6,7.2 MW,L,1572,1572,1572,1568,
5/13/1997,1011,Iran,33.399,59.88,11.6,4.5 mb,,1,1,1,,
5/13/1997,1012,Afghanistan,36.467,70.968,196,6.4 MW,,1,1,,,
5/21/1997,1013,India (see1997 Jabalpur earthquake),23.072,80.083,36,5.8 MW,,38,38,38,43,
5/21/1997,1014,Spain,42.83,-7.231,17.1,5.3 MW,,0,1,,,
7/9/1997,1015,Venezuela| (see 1997 Cariaco earthquake),10.45,-63.532,10,6.9 MW,L,81,81,81,80,
7/21/1997,1016,South Africa,-26.857,26.619,5,5.0 mb,,0,15,15,15,
9/26/1997,1017,Italy (see1997 Umbria and Marche earthquake),43.078,12.781,6,6.0 MW,,11,11,11,14,
9/28/1997,1018,Indonesia,-3.773,119.658,13,5.8 MW,,18,18,17,20,
10/15/1997,1019,Chile (see1997 Punitaqui earthquake),-30.878,-71.167,58,7.1 MW,L,7,8,8,8,
11/6/1997,1020,Canada,46.771,-71.387,22.5,5.1 Lg,,0,1,1,,
11/21/1997,1021,India (see1997 Chittagong earthquake),22.26,92.715,54,6.1 MW,,23,23,23,23,
1/10/1998,1022,China,41.137,114.523,5,5.7 MW,F,70,70,49,49,
1/30/1998,1023,Chile,-23.85,-70.147,42,7.0 MW,,0,1,,,
2/4/1998,1024,"Afghanistan(seeFebruary 4, 1998 Afghanistan earthquake)",37.08,70.004,17.6,5.9 MW,L,2323,2323,2323,2323,
2/20/1998,1025,Afghanistan,36.479,71.074,236,6.3 MW,L,1,1,1,1,
3/14/1998,1026,Iran,30.126,57.585,13.8,6.6 MW,,5,5,5,5,
3/26/1998,1027,Italy,43.224,12.919,10,5.4 MW,,0,1,,,
4/10/1998,1028,Iran,32.447,60.063,7,5.7 MW,,12,12,12,,
4/12/1998,1029,Slovenia,46.271,13.653,7.5,5.6 MW,L,0,1,,0,
5/22/1998,1030,Bolivia,-17.783,-65.401,24,6.6 MW,,105,105,105,95,
5/30/1998,1031,"Afghanistan(see May 30, 1998 Afghanistan earthquake)",37.185,70.075,35.5,6.5 MW,L,4000,4000,4000,4700,
6/27/1998,1032,Turkey (see1998 Adana-Ceyhan earthquake),36.903,35.325,16,6.3 MW,,145,145,145,,
7/9/1998,1033,Portugal,38.621,-28.566,9,6.1 MW,,10,10,10,10,
7/9/1998,1034,Azerbaijan,38.726,48.525,29,5.9 MW,,,,,1,
7/17/1998,1035,Taiwan,23.503,120.711,11,5.7 MW,L,5,5,5,,
7/17/1998,1036,Papua New Guinea (see1998 Papua New Guinea earthquake),-2.946,142.52,23,7.0 MW,T,0,2683,2700,,
7/29/1998,1037,Chile,-32.327,-71.244,51,6.4 MW,L,0,2,,,
8/4/1998,1038,Ecuador (see1998 Bahía de Caráquez earthquake),-0.594,-80.313,20,7.1 MW,L,3,3,3,3,
8/27/1998,1039,China,39.572,77.298,28,6.3 MW,,3,3,3,,
9/9/1998,1040,Italy,40,15.975,10,5.6 MW,,1,2,1,,
9/28/1998,1041,Indonesia,-8.177,112.34,151.6,6.5 MW,,1,1,1,,
9/29/1998,1042,Serbia (see1998 Mionica earthquake),44.203,20.094,15,5.5 MW,,0,1,,0,
11/13/1998,1043,Iran,27.791,53.642,12.5,5.4 MW,L,5,5,5,5,
11/19/1998,1044,China,27.263,100.955,4.8,5.6 MW,L,5,5,6,3,
11/29/1998,1045,Indonesia,-1.939,124.818,16,7.7 MW,,41,41,41,,
12/11/1998,1046,Afghanistan,36.518,71,219,5.6 MW,,5,5,5,,
1/25/1999,1047,"Colombia(see 1999 Armenia, Colombia earthquake)",4.444,-75.659,17,6.1 MW,L,1185,1885,1900,1186,
2/11/1999,1048,Afghanistan,34.323,69.165,25.5,6.0 MW,,70,70,70,70,
2/21/1999,1049,Russian Federation,43.262,46.909,41.9,5.3 MW,,1,1,1,1,
3/4/1999,1050,Iran,28.271,57.207,27.7,6.6 MW,,1,1,1,1,
3/28/1999,1051,India (see1999 Chamoli earthquake),30.475,79.401,10.7,6.5 MW,L,100,100,100,100,
4/3/1999,1052,Peru,-16.602,-72.518,85,6.8 MW,L,1,1,1,,
4/22/1999,1053,South Africa,-27.953,26.679,6.5,5.7 mb,,0,2,2,,
5/6/1999,1054,Iran,29.519,51.907,16.3,6.2 MW,,26,26,26,20,
6/4/1999,1055,Azerbaijan,40.767,47.483,14,5.4 MW,,0,0,,1,
6/15/1999,1056,Mexico (see1999 Tehuacán earthquake),18.381,-97.445,63,6.9 MW,L,16,20,17,15,
7/11/1999,1057,Guatemala,15.791,-88.285,15,6.7 MW,,1,2,1,,
7/22/1999,1058,Bangladesh,21.658,91.933,25,5.2 mb,,6,6,6,6,
8/10/1999,1059,Iran,36.157,54.648,20,4.5 mb,,1,1,1,,
8/17/1999,1060,Turkey (see1999 _zmit earthquake),40.773,30.003,13.3,7.6 MW,,17118,,17118,17127,45000[9]
8/31/1999,1061,Turkey,40.767,29.912,8.4,5.1 MW,,1,1,1,1,
9/7/1999,1062,Greece (see1999 Athens earthquake),38.119,23.598,10,6.0 MW,,143,143,143,143,
9/13/1999,1063,Turkey,40.736,30.089,13,5.8 MW,,6,7,6,6,
9/20/1999,1064,Taiwan (see1999 Jiji earthquake),23.819,120.877,21,7.6 MW,L,2297,2297,2413,2264,2489[10]
9/25/1999,1065,Taiwan,23.813,121.087,17,6.5 MW,L,,,5,,
9/29/1999,1066,Turkey,40.736,29.35,7.6,5.2 MW,,1,1,1,,
9/30/1999,1067,Mexico (see1999 Oaxaca earthquake),16.055,-96.905,40,7.4 MW,L,15,15,35,31,
10/22/1999,1068,Taiwan,23.531,120.443,14,5.8 MW,,1,1,1,1,
11/7/1999,1069,Turkey,40.695,30.724,16,4.9 MW,,0,1,,,
11/11/1999,1070,Turkey,40.74,30.247,10,5.6 MW,,1,2,1,3,
11/12/1999,1071,Turkey (see1999 Düzce earthquake),40.803,31.219,12.8,7.2 MW,L,894,894,894,845,
11/24/1999,1072,China,24.586,102.845,15,5.0 ML,,1,1,1,,
11/26/1999,1073,Vanuatu,-16.316,168.239,33,7.4 MW,"T,L",,10,10,12,
12/3/1999,1074,Turkey,40.482,42.354,6.4,5.7 MW,L,1,1,1,,
12/11/1999,1075,Philippines,15.779,119.776,40,7.2 MW,,1,5,1,6,
12/15/1999,1076,Philippines,11.296,124.516,16.2,4.8 mb,,1,1,,,
12/21/1999,1077,Indonesia,-6.823,105.498,42,6.4 MW,,5,5,5,5,
12/22/1999,1078,Algeria,35.21,-1.316,2.3,5.6 MW,,24,24,24,22,
1/14/2000,1079,China (see2000 Yunnan earthquake),25.549,101.118,13.6,5.5 MW,,,,,7,
1/14/2000,1080,China (see2000 Yunnan earthquake),25.567,101.071,24.9,5.9 MW,,7,7,7,,
1/26/2000,1081,China,24.148,103.654,35,4.9 mb,,0,0,,1,
2/2/2000,1082,Iran,35.238,58.213,22.7,5.3 MW,,1,1,1,1,
5/4/2000,1083,Indonesia,-1.14,123.522,26,7.5 MW,T,46,46,46,45,
5/7/2000,1084,Turkey,38.164,38.777,5,4.5 MD,,0,0,,1,
5/12/2000,1085,Argentina,-23.754,-66.777,225,7.2 MW,,0,1,1,,
5/17/2000,1086,Taiwan,24.167,121.078,15,5.4 MW,L,3,3,3,,
6/4/2000,1087,Indonesia,-4.76,102.031,33.8,7.9 MW,L,103,103,103,103,
6/5/2000,1088,Indonesia,-4.151,101.953,47,5.5 MW,,,,,1,
6/6/2000,1089,Turkey,40.737,33.005,7,6.0 MW,,2,2,2,2,
6/7/2000,1090,Indonesia,-4.651,101.848,32,6.7 MW,,1,1,1,,
6/10/2000,1091,Taiwan,23.868,121.181,19,6.4 MW,L,0,2,,,
7/1/2000,1092,Japan,34.222,139.171,12.5,6.1 MW,"T,L",0,1,1,1,
7/6/2000,1093,Nicaragua,11.928,-86.066,15,5.4 MW,,7,7,7,7,
7/7/2000,1094,Turkey,40.857,29.344,7.8,4.2 MD,,0,1,,,
7/17/2000,1095,Afghanistan,36.245,70.943,135,6.3 MW,,2,2,2,,
8/21/2000,1096,China,25.726,102.24,5.4,4.9 mb,,1,1,1,1,
9/20/2000,1097,Ecuador,-1.946,-80.522,40,5.5 MW,,1,1,1,,
10/2/2000,1098,Tanzania,-7.965,30.806,34,6.4 MW,,0,0,,1,
11/8/2000,1099,Colombia,7.091,-77.811,17,6.5 MW,,0,0,,2,
11/10/2000,1100,Algeria,36.437,4.838,7,5.7 MW,,2,2,2,,
11/16/2000,1101,Papua New Guinea,-3.996,152.268,27.6,8.0 MW,"T,L",1,2,2,1,
11/25/2000,1102,Azerbaijan(see 2000 Baku earthquake),40.198,49.929,51.6,6.8 MW,,5,31,5,31,
11/25/2000,1103,Azerbaijan,40.161,49.912,52.9,6.5 MW,,,,,,
12/6/2000,1104,Turkmenistan,39.532,54.801,30.6,7.0 MW,,11,11,11,11,
12/15/2000,1105,Turkey,38.451,31.265,12,6.0 MW,,6,6,6,,
1/13/2001,1106,El Salvador(Subduction Zone),13.076,-88.702,38,7.6 MW,L,267,852,852,844,
1/26/2001,1107,India (see2001 Gujarat earthquake),23.402,70.287,23.3,7.6 MW,,20023,20023,20023,20005,
2/13/2001,1108,El Salvador(San Vicente),13.6,-89.001,11,6.6 MW,L,315,315,315,315,
2/17/2001,1109,El Salvador(San Salvador),13.787,-89.106,10,5.1 mb,L,1,1,1,,
2/23/2001,1110,China,29.459,101.079,7,5.6 MW,,3,3,3,3,
2/28/2001,1111,United States(see 2001 Nisqually earthquake),47.09,-122.581,54,6.8 MW,"L,Lq",0,0,,1,
3/24/2001,1112,Japan,34.108,132.54,42,6.8 MW,,2,2,2,2,
4/12/2001,1113,China,24.806,99.051,10.1,5.6 MW,L,2,2,2,2,
5/23/2001,1114,China,27.619,100.901,2.1,5.4 MW,,2,2,2,2,
6/1/2001,1115,Afghanistan,35.105,69.324,44.5,5.0 MW,,4,4,4,4,
6/21/2001,1116,France,49.147,6.87,1,4.2 ML,,0,1,1,,
6/23/2001,1117,Peru (see2001 southern Peru earthquake),-16.385,-73.505,33.7,8.4 MW,"T,L",48,138,139,145,
7/7/2001,1118,Peru,-17.532,-71.931,14.1,7.6 MW,L,1,1,1,,
7/17/2001,1119,Italy,46.723,11.234,5.7,4.7 MW,L,0,4,3,,
7/24/2001,1120,Chile,-19.558,-69.234,13.4,6.3 MW,,1,1,1,,
8/9/2001,1121,Peru,-14.348,-72.68,9.6,5.8 MW,,4,4,4,4,
10/27/2001,1122,China,26.289,100.586,5.8,5.5 MW,,1,1,1,1,
12/4/2001,1123,Peru,-15.353,-72.435,41.4,5.8 MW,,2,2,2,,
1/9/2002,1124,Tajikistan,38.644,69.844,28.6,5.2 MW,,3,3,3,3,
1/10/2002,1125,Papua New Guinea,-3.264,142.447,11,6.7 MW,,1,1,1,1,
1/21/2002,1126,Democratic Republic of the Congo,-1.77,28.996,11.6,5.1 MW,,,,,45,
1/21/2002,1127,Turkey,38.633,27.887,27.5,4.8 ML,,1,1,,,
1/22/2002,1128,Greece,35.624,26.645,88,6.2 MW,,0,1,,,
2/3/2002,1129,Turkey,38.527,31.227,5,6.5 MW,,44,44,44,42,
2/17/2002,1130,Iran,28.089,51.792,16.4,5.3 MW,,1,1,1,1,
3/3/2002,1131,Afghanistan(see 2002 Hindu Kush earthquakes),36.508,70.503,204,7.3 MW,L,16,166,166,150,
3/5/2002,1132,Philippines,6.028,124.218,31,7.5 MW,"T,L",15,15,15,15,
3/25/2002,1133,Afghanistan(see 2002 Hindu Kush earthquakes),36.051,69.21,10.5,6.1 MW,L,1000,1000,1000,1000,
3/27/2002,1134,Afghanistan,36.053,69.248,9.1,5.6 MW,L,,,,,
3/31/2002,1135,Taiwan,24.3,122.142,34,7.1 MW,"T,L",5,5,5,4,
4/1/2002,1136,Papua New Guinea,-6.231,147.545,81.4,5.3 MW,L,0,36,36,,
4/12/2002,1137,Afghanistan,35.988,69.296,7.8,5.8 MW,L,50,50,50,50,
4/22/2002,1138,Peru,-12.428,-76.578,64.9,4.4 mb,,0,1,,,
4/24/2002,1139,Serbia,42.42,21.533,8,5.7 MW,,1,1,1,1,
4/24/2002,1140,Iran,34.602,47.401,25,5.4 MW,,2,2,2,2,
4/25/2002,1141,Georgia,41.767,44.857,34.8,4.8 mb,L,5,5,5,6,
5/15/2002,1142,Taiwan,24.668,121.868,16.7,6.1 MW,L,1,1,1,,
5/18/2002,1143,Tanzania,-2.919,33.738,9.8,5.5 MW,,2,2,2,2,
6/22/2002,1144,Iran,35.597,49.02,11,6.5 MW,,261,261,227,227,
9/6/2002,1145,Italy,38.335,13.728,13,5.9 MW,,0,2,,,
9/8/2002,1146,Papua New Guinea,-3.262,142.94,13,7.6 MW,"T,L",4,4,4,4,
9/13/2002,1147,India,13.013,93.093,15,6.5 MW,T,2,2,2,2,
10/10/2002,1148,Indonesia,-1.7,134.23,16,7.5 MW,"T,L,Lq",8,8,8,8,
10/24/2002,1149,Democratic Republic of the Congo,-1.962,29.013,11,6.2 MW,,2,2,2,,
10/31/2002,1150,Italy (see2002 Molise earthquake),41.738,14.852,5.7,5.7 MW,L,29,29,29,30,
11/1/2002,1151,Pakistan,35.393,74.627,27.5,5.3 MW,L,11,11,,17,
11/2/2002,1152,Indonesia,2.837,96.088,30,7.2 MW,,3,3,3,3,
11/3/2002,1153,Pakistan,35.348,74.595,15.7,5.3 MW,,,,,,
11/20/2002,1154,Pakistan,35.337,74.556,14.8,6.3 MW,L,19,19,19,19,
12/14/2002,1155,China,39.754,97.391,5,5.5 MW,,2,2,2,2,
1/21/2003,1156,Guatemala,13.623,-90.85,24,6.4 MW,,0,1,,,
1/22/2003,1157,Mexico (see2003 Colima earthquake),18.9,-104.063,24,7.5 MW,"T,L",29,29,,29,
1/27/2003,1158,Turkey,39.503,39.851,16.1,6.0 MW,,1,1,1,1,
2/24/2003,1159,China (see2003 Bachu earthquake),39.515,77.204,14,6.3 MW,,261,261,,268,
2/25/2003,1160,China (see2003 Bachu earthquake),39.402,77.358,18.7,5.3 MW,,5,5,5,,
3/25/2003,1161,Indonesia,-8.339,120.606,34,6.4 MW,,0,4,4,,
3/29/2003,1162,Afghanistan,35.907,70.55,110,5.8 MW,,1,1,1,,
5/1/2003,1163,Turkey (see2003 Bingöl earthquake),38.97,40.458,14,6.3 MW,L,177,177,,177,
5/4/2003,1164,China,39.305,77.142,10,5.8 MW,,0,1,,1,
5/21/2003,1165,Algeria (see2003 Boumerdès earthquake),36.88,3.694,12,6.8 MW,"T,L,Lq",2266,2266,,2266,
5/22/2003,1166,Kazakhstan,42.954,72.763,35,5.5 MW,,,,,3,
5/26/2003,1167,Indonesia,2.349,128.879,31,6.9 MW,,1,1,1,1,
5/27/2003,1168,Algeria,36.865,3.592,8,5.7 MW,T,9,9,,9,
6/24/2003,1169,Iran,33.024,49.463,15,4.6 mb,L,1,1,1,,
7/10/2003,1170,Iran,28.311,54.165,8,5.7 MW,,1,1,1,1,
7/21/2003,1171,China,25.958,101.26,35,5.9 MW,L,16,16,16,16,
7/26/2003,1172,Bangladesh,22.868,92.317,35,5.6 MW,L,2,2,2,2,
7/27/2003,1173,Bangladesh,22.743,92.168,10,4.3 mb,,,,,,
7/27/2003,1174,Bangladesh,22.836,92.316,35,5.4 MW,,,,,,
8/16/2003,1175,China,43.779,119.718,23.3,5.4 MW,,4,4,4,4,
9/22/2003,1176,Dominican Republic,19.766,-70.693,14,6.4 MW,L,1,3,1,3,
9/25/2003,1177,Japan,41.864,143.878,27,8.3 MW,"T,LF",0,0,,2,
9/27/2003,1178,Russian Federation,50.031,87.817,12.3,7.3 MW,L,0,3,,3,
10/16/2003,1179,China,25.882,101.256,35,5.6 MW,,3,3,3,3,
10/25/2003,1180,China,38.386,100.978,12,5.8 MW,,9,9,9,9,
10/25/2003,1181,China,38.371,100.994,13.5,5.8 MW,,,,,,
11/13/2003,1182,China,34.713,103.865,35,5.1 MW,,1,1,1,1,
11/14/2003,1183,China,27.462,103.974,35,5.6 MW,,4,4,4,4,
11/18/2003,1184,Philippines,12.113,125.416,35,6.5 MW,L,1,1,1,,
12/1/2003,1185,Kazakhstan,42.885,80.546,17,6.0 MW,,11,11,11,11,
12/22/2003,1186,United States(see 2003 San Simeon earthquake),35.629,-121.075,16,6.6 MW,"L,Lq",2,2,2,2,
12/25/2003,1187,Panama,8.369,-82.842,34,6.5 MW,,2,2,2,2,
12/26/2003,1188,Iran (see2003 Bam earthquake),28.95,58.268,6,6.6 MW,L,31000,31000,,26796,26271[11]26000[12]
1/1/2004,1189,Indonesia,-8.349,115.758,45.4,5.8 MW,,1,1,,1,
2/5/2004,1190,Indonesia,-3.661,135.597,23,7.0 MW,F,37,37,,37,
2/14/2004,1191,Pakistan,34.751,73.178,11,5.4 MW,L,10,24,,24,
2/14/2004,1192,Pakistan,34.772,73.169,11,5.3 MW,,,,,,
2/16/2004,1193,Indonesia,-0.516,100.548,12.7,5.0 MW,,5,5,,5,
2/24/2004,1194,Burundi,-3.36,29.446,15.7,4.7 mb,,3,3,,3,
2/24/2004,1195,Morocco (see2004 Morocco earthquake),35.184,-3.985,8,6.3 MW,L,631,631,,628,
2/25/2004,1196,Morocco,35.225,-4.08,7.2,5.2 MW,,,,,,
2/26/2004,1197,Morocco,35.246,-4.178,18.3,4.9 MW,,,,,,
3/1/2004,1198,Turkey,38.058,38.277,5,3.8 MD,,6,6,,,
3/7/2004,1199,Morocco,35.174,-4.161,34.6,5.1 MW,,,,,,
3/25/2004,1200,Turkey,39.804,40.721,56.3,5.6 MW,,10,10,,9,
4/5/2004,1201,Afghanistan,36.48,71.042,175,6.5 MW,,3,3,,,
5/1/2004,1202,Taiwan,24.058,121.6,27.3,5.2 MW,L,0,2,,,
5/8/2004,1203,Pakistan,30.167,67.068,35,4.5 mb,,1,1,,,
5/28/2004,1204,Iran,36.257,51.565,26.7,6.3 MW,L,,35,,35,
7/1/2004,1205,Turkey,39.735,43.908,27.1,5.1 MW,,18,18,,18,
7/12/2004,1206,Slovenia,46.305,13.628,7.3,5.2 MW,L,0,1,,1,
7/18/2004,1207,New Zealand,-38.013,176.432,2.4,5.4 MW,L,1,1,,,
7/18/2004,1208,Afghanistan,33.344,69.479,5.7,5.2 MW,,2,2,,2,
7/30/2004,1209,Turkey,39.69,43.935,20,4.8 mb,,1,1,,,
8/10/2004,1210,China,27.318,103.917,13.2,5.3 MW,,4,4,,4,
8/11/2004,1211,Turkey,38.347,39.232,4.5,5.6 MW,,1,1,,,
9/7/2004,1212,Argentina,-28.568,-65.85,13,6.1 MW,,1,1,,,
9/15/2004,1213,Indonesia,-8.784,115.325,96.7,5.3 MW,,1,1,,,
10/23/2004,1214,Japan (see2004 Chuetsu earthquake),37.23,138.801,16,6.6 MW,"L,F",40,40,,40,68
11/11/2004,1215,Indonesia,-8.166,124.764,13,7.5 MW,L,34,34,,33,
11/20/2004,1216,Costa Rica,9.623,-84.165,16,6.4 MW,L,8,8,,8,
11/21/2004,1217,Guadeloupe,15.679,-61.724,14,6.3 MW,,1,1,,1,
11/26/2004,1218,Indonesia,-3.615,135.45,24,7.1 MW,F,32,32,,32,
12/1/2004,1219,Indonesia,-3.689,135.604,7.2,5.5 MW,,1,1,,,
12/26/2004,1220,Indonesia(see 2004 Indian Ocean earthquake),3.287,95.972,30,9.3 MW,"T,L",,297200,,,231000*[13]283000*[14]227898*[15]
1/23/2005,1221,Indonesia,-1.196,119.91,38.1,6.2 MW,,1,1,,1,
1/25/2005,1222,Turkey,37.603,43.691,40.6,5.9 MW,,2,2,,,
2/2/2005,1223,Indonesia,-7.004,107.816,57.2,4.8 mb,,1,1,,,
2/5/2005,1224,Philippines,5.321,123.338,522.1,7.1 MW,,2,2,,,
2/22/2005,1225,Iran (see2005 Zarand earthquake),30.691,56.794,7,6.4 MW,,612,612,,612,
3/9/2005,1226,South Africa,-26.889,26.775,13,5.0 mb,,2,2,,2,
3/20/2005,1227,Japan (see2005 Fukuoka earthquake),33.802,130.209,10.7,6.6 MW,L,1,1,,1,
3/28/2005,1228,Indonesia(see 2005 Sumatra Earthquake),2.069,97.097,22,8.6 MW,T,1303,1313,,915,
5/3/2005,1229,Iran,33.655,48.669,27.1,4.9 MW,,4,4,,,
6/4/2005,1230,Papua New Guinea,-6.355,146.846,44,6.1 MW,,1,1,,1,
6/13/2005,1231,Chile,-20.007,-69.198,105.2,7.8 MW,L,5,11,,11,
7/5/2005,1232,South Africa,-26.468,27.435,5,2.7 ML,,0,1,,,
7/25/2005,1233,China,46.884,125.03,43.3,5.0 MW,,1,1,,,
9/26/2005,1234,Peru (see2005 northern Peru earthquake),-5.721,-76.414,120.9,7.5 MW,,5,5,,5,
10/8/2005,1235,Pakistan (see2005 Kashmir earthquake),34.465,73.584,23.1,7.6 MW,"L,Lq",87351,87351,,73338,
10/15/2005,1236,Pakistan,33.977,73.929,11.6,5.2 mb,,2,2,,,
10/20/2005,1237,Turkey,38.158,26.753,7.7,5.8 MW,,0,1,,,
10/27/2005,1238,China,23.604,107.798,10,4.2 mb,,1,1,,,
11/8/2005,1239,Vietnam,9.973,108.226,14.7,5.3 MW,,1,1,,,
11/26/2005,1240,China (see2005 Ruichang earthquake),29.714,115.663,10.5,5.2 MW,,16,16,,,
11/27/2005,1241,"Iran, 2005 Qeshm earthquake",26.786,55.833,18.4,5.9 MW,,13,13,,13,
12/5/2005,1242,Tanzania(see 2005 Lake Tanganyika earthquake),-6.246,29.789,20,6.8 MW,,6,6,,6,
12/12/2005,1243,Afghanistan(seeDecember 2005 Afghan-Pakistan earthquake),36.285,71.12,223.8,6.5 MW,,5,5,,5,
12/14/2005,1244,India,30.46,79.201,35.5,5.1 MW,L,1,1,,,
2/14/2006,1245,India,27.382,88.388,30,5.3 MW,L,0,2,,,
2/22/2006,1246,Mozambique,-21.324,33.583,11,7.0 MW,,4,4,,,
3/10/2006,1247,Pakistan,33.129,73.887,10,4.9 MW,,1,1,,,
