Origin (UTC),Cell Number,Present-day Country and link to Wikipedia article,Latitude,Longitude,Depth (km),Magnitude,Secondary Effects,PDE Shaking Deaths,PDE Total Deaths,Utsu Total Deaths,EM-DAT Total Deaths,Other Source Deaths
4/23/1933,177,Greece,36.516,27.15,35,6.8 UK,,,,74,,
6/24/1933,178,Indonesia,-5.522,104.434,35,7.3 MW,,,,76,,
8/25/1933,179,China (see1933 Diexi earthquake),31.81,103.541,25,7.3 MW,,,,6865,,
11/28/1933,180,Iran,32.1,56,27,6.3 UK,,,,4,,
1/12/1934,181,China,23.7,102.7,,6.0 UK,,,,1,,
1/15/1934,182,Nepal (see1934 Bihar earthquake),26.773,86.762,35,8.1 UK,,,,10700,6000,
1/4/1935,183,Turkey (see1935 Erdek-Marmara Islands earthquake),40.5,27.5,7,6.2 UK,,,,5,,
2/25/1935,184,Greece,36.084,24.703,35,6.8 UK,,,,,,
3/5/1935,185,Iran,36.3,53.3,,6.0 UK,,,,60,,
4/11/1935,186,Iran,36.432,53.621,35,6.8 UK,,,,500,,
4/20/1935,187,Taiwan (see1935 Hsinchu-Taichung earthquake),24.364,120.613,35,7.1 MS,,,,3276,3410,
4/28/1935,188,China,29.4,102.3,,6.0 UK,,,,2,,
5/1/1935,189,Turkey (see1935 Digor earthquake),40.38,43.41,7,6.2 UK,,,,,,200
5/30/1935,190,Pakistan (see1935 Balochistan earthquake),28.894,66.176,35,8.1 MW,,,,60000,60000,
7/11/1935,191,Japan,35,138,10,6.3 UK,,,,9,,
1/9/1936,192,Colombia,1.1,-77.6,,7.0 UK,,,,250,,
2/7/1936,193,China,35.633,103.265,25,6.8 UK,,,,42,,
4/26/1936,194,China,28.733,103.497,25,6.8 UK,,,,,,
5/16/1936,195,China,28.675,103.684,25,6.8 UK,,,,550,,
8/1/1936,196,China,34.2,105.7,,6.0 UK,,,,144,,
8/17/1936,197,China,26.6,103,,5.5 UK,,,,30,,
8/23/1936,198,Indonesia,5.296,94.759,35,7.1 MS,T,,,91,9,
7/26/1937,199,Mexico,18.523,-95.878,35,7.2 mb,,,,34,,
7/31/1937,200,China,35.252,115.153,25,6.9 UK,,,,3833,,
8/20/1937,201,Philippines,14.318,121.547,35,7.3 MW,T,,,1,,
12/23/1937,202,Mexico,17.431,-98.287,35,7.4 MW,,,,4,,
4/19/1938,203,Turkey (see1938 Kır_ehir earthquake),39.439,34.015,35,6.8 UK,,,,155,149,
5/19/1938,204,Indonesia,-0.366,119.525,49.4,7.5 MW,T,,,8,,
11/5/1938,205,Japan,37.009,142.045,35,7.9 MW,T,,,1,,
1/25/1939,206,Chile (see1939 Chillán earthquake),-36.2,-72.2,0,7.7 MW,,,,28000,30000,
4/30/1939,207,Solomon Islands,-9.295,159.234,35,7.9 MW,T,,,12,,
5/1/1939,208,Japan,39.839,139.969,35,7.0 MS,T,,,27,,
6/22/1939,209,Ghana,5.18,-0.13,13,6.4 UK,,,,22,,
9/19/1939,210,China,24.4,102.5,,5.5 UK,,,,1,,
12/26/1939,211,Turkey (see1939 Erzincan earthquake),39.77,39.533,35,7.8 MS,,,,32968,32962,
4/6/1940,212,China,23.9,102.3,,6.0 UK,,,,181,,
5/7/1940,213,Georgia,41.7,43.8,19,6.0 UK,,,,5,,
5/19/1940,214,United States(see 1940 El Centro earthquake),33.222,-115.697,15,6.9 UK,,,,9,9,
5/24/1940,215,Peru,-11.119,-77.629,50.1,7.5 MW,T,,,250,249,
6/19/1940,216,China,24.4,102.5,,5.5 UK,,,,2,,
8/1/1940,217,Japan,44.508,139.829,35,7.5 MW,T,,,10,,
11/10/1940,218,Romania(see 1940 Vrancea earthquake),45.773,26.655,122,7.3 mb,,,,1000,980,
1/11/1941,219,Yemen,16.4,43.5,,5.9 UK,,,,1200,,
2/16/1941,220,Iran,33.5,58.6,,6.3 UK,,,,680,,
4/15/1941,221,Mexico,18.677,-102.957,35,7.6 MW,,,,90,,
5/5/1941,222,China,47,127.2,,6.0 UK,,,,132,,
5/16/1941,223,China,23.514,99.408,25,6.9 UK,,,,16,,
6/26/1941,224,India,12.149,92.478,49.1,7.7 MW,T,,,,,
9/10/1941,225,Turkey (see1941 Van-Erci_ earthquake),39.5,43.3,28,6.0 UK,,,,500,,
10/8/1941,226,China,31.7,102.3,,6.0 UK,,,,139,,
11/12/1941,227,Turkey,39.7,39.4,70,5.9 UK,,,,15,,
11/18/1941,228,Japan,32,132,0,7.7 MW,T,,,2,,
12/16/1941,229,Taiwan (see1941 Chungpu earthquake),23.251,120.391,35,7.1 MW,,,,357,,
12/26/1941,230,Myanmar,21.076,99.145,25,7.0 MS,,,,,,
2/1/1942,231,China,23.1,100.3,,6.8 UK,,,,90,,
5/14/1942,232,Ecuador,0.012,-79.902,35,7.8 MW,,,,200,200,
8/6/1942,233,Guatemala,13.78,-90.913,35,7.7 MW,,,,38,,
8/24/1942,234,Peru,-14.975,-74.92,35,7.7 MW,T,,,30,,
8/27/1942,235,Albania,41.7,20.4,33,6.0 UK,,,,43,,
12/20/1942,236,Turkey (see1942 Niksar-Erbaa earthquake),40.671,36.45,35,7.2 MW,,,,3000,3000,
1/20/1943,237,Turkey,40.8,30.5,,6.6 UK,,,,285,,
2/22/1943,238,Mexico,17.75,-101.5,0,7.4 MW,,,,11,,
4/6/1943,239,Chile,-30.75,-72,0,8.2 MW,T,,,18,,
6/20/1943,240,Turkey (see1943 Adapazarı-Hendek earthquake),40.6,30.5,15,6.2 UK,,,,336,,
7/23/1943,241,Indonesia,-9.5,110,90,7.6 mb,,,,213,213,
9/10/1943,242,Japan (see1943 Tottori earthquake),35.25,134,0,7.0 MW,F,,,1083,1083,
11/26/1943,243,Turkey (see1943 Tosya-Ladik earthquake),41,34,0,7.5 MW,,,,4020,2824,
12/2/1943,244,Taiwan,22.9,121.5,0,6.5 MS,,,,3,,
1/15/1944,245,Argentina(see 1944 San Juan earthquake),-31.25,-68.75,50,7.1 MW,,,,8000,10000,
2/1/1944,246,Turkey (see1944 Bolu-Gerede earthquake),41.5,32.5,0,7.2 MW,,,,3959,3959,
3/9/1944,247,China,44,84,0,7.1 MS,,,,4,,
4/5/1944,248,Iran,36.8,54.5,7,4.8 UK,,,,20,,
10/6/1944,249,Turkey,39.4,26.7,,6.8 Ms,,,,30,,
12/7/1944,250,Japan (see1944 T_nankai earthquake),33.75,136,0,8.1 UK,T,,,1251,998,
1/12/1945,251,Japan (see1945 Mikawa earthquake),34.75,136.75,0,6.8 MS,T,,,2306,1961,
2/10/1945,252,Japan,41.25,142.5,50,7.1 MS,T,,,2,,
3/20/1945,253,Turkey,37.4,35.8,60,6.0 UK,,,,300,,
9/13/1945,254,Chile,-33.25,-70.5,100,7.0 mb,,,,4,,
9/23/1945,255,China,39.5,119,,6.3 UK,,,,600,,
11/27/1945,256,Pakistan (see1945 Balochistan earthquake),24.5,63,0,8.0 MW,T,,,300,4000,
2/12/1946,257,Algeria,36,5,,6.0 UK,,,,277,,
2/21/1946,258,Turkey,38.2,31.8,60,5.6 UK,,,,12,,
4/1/1946,259,United States(see 1946 Aleutian Islands earthquake),52.75,-163.5,0,7.3 MS,T,,,173,165,
5/31/1946,260,Turkey (see1946 Varto-Hınıs earthquake),39.3,41.2,,5.9 UK,,,,1300,,
6/23/1946,261,Canada (see1946 Vancouver Island earthquake),49.75,-124.5,0,7.6 MW,T,,,1,,
8/2/1946,262,Chile,-26.5,-70.5,50,7.1 MS,,,,2,,
8/4/1946,263,Dominican Republic(see 1946 Dominican Republic earthquake),19.25,-69,0,7.9 MW,T,,,100,73,
11/2/1946,264,Kyrgyzstan,41.5,72.5,0,7.3 MW,,,,,,
11/4/1946,265,Turkmenistan,39.75,54.5,0,7.1 MW,,,,400,,
11/10/1946,266,Peru,-8.5,-77.5,0,6.8 MW,,,,1400,1400,
12/4/1946,267,Taiwan (see1946 Hsinhua earthquake),22.5,122.5,0,6.6 MS,,,,74,,
12/20/1946,268,Japan (see1946 Nankaid_ earthquake),32.5,134.5,0,8.1 UK,"T,F",,,1330,2000,
3/26/1947,269,China,25,102,,5.5 UK,,,,4,,
9/23/1947,270,Iran,33,59,0,6.8 UK,,,,500,,
9/26/1947,271,Japan,24.75,123,110,7.4 mb,,,,5,,
10/6/1947,272,Greece,37,22,0,6.9 MS,T,,,,,
11/1/1947,273,Peru,-10.5,-75,0,7.7 MW,,,,233,233,
1/24/1948,274,Philippines,10.5,122,0,8.1 MW,T,,,72,27,
5/11/1948,275,Peru,-17.5,-70.25,70,7.4 mb,,,,4,,
5/25/1948,276,China,29.5,100.5,0,7.2 MW,,,,737,,
5/28/1948,277,Peru,-13,-76.5,60,7.0 UK,,,,4,,
6/15/1948,278,Japan,33.75,135.25,0,6.9 UK,,,,2,,
6/27/1948,279,China,26.4,99.7,,6.8 UK,,,,280,,
6/28/1948,280,Japan (see1948 Fukui earthquake),36.5,136,0,7.0 MW,F,,,3769,5131,
